      17.2373      -12.731167      -12.804914      -12.668144
      17.5731      -11.764594      -11.836453      -11.702953
      17.6734      -11.759215      -11.833961      -11.695463
      17.7692      -11.543423      -11.617170      -11.480400
      17.8664      -11.594342      -11.668089      -11.531319
      17.9655      -11.517822      -11.592569      -11.454071
      18.0493      -11.288574      -11.363320      -11.224823
      18.1483      -11.239843      -11.314590      -11.176092
      17.9011      -11.430212      -11.471919      -11.392161
      17.9688      -11.472544      -11.513558      -11.435072
      18.0215      -11.380430      -11.421918      -11.342562
      18.0612      -11.355413      -11.398938      -11.315856
      18.0960      -11.276991      -11.317732      -11.239747
      18.1297      -11.323119      -11.365351      -11.284633
      18.1610      -11.307990      -11.353193      -11.267051
      18.1889      -11.199432      -11.240542      -11.161878
      18.2151      -11.174952      -11.216472      -11.137058
      18.2421      -11.198562      -11.239290      -11.161328
      18.2699      -11.189702      -11.232101      -11.151077
      18.2970      -11.189825      -11.232639      -11.150855
      18.3235      -11.150399      -11.193404      -11.111271
      18.3485      -11.147251      -11.192435      -11.106328
      18.3721      -11.068827      -11.112370      -11.029254
      18.3937      -10.952178      -10.995293      -10.912959
      18.4174      -11.017971      -11.060036      -10.979622
      18.4445      -10.974185      -11.017590      -10.934727
      18.4755      -10.987144      -11.029100      -10.948887
      18.5097      -10.928664      -10.971703      -10.889508
      18.5426      -10.886629      -10.931862      -10.845667
      18.5803      -10.923870      -10.968361      -10.883516
      18.6304      -10.893095      -10.934816      -10.855034
      18.6810      -10.754638      -10.799996      -10.713572
      18.7360      -10.760271      -10.805289      -10.719483
      18.8052      -10.580705      -10.623538      -10.541721
      18.8927      -10.472702      -10.515231      -10.433969
      19.0431      -10.444385      -10.489071      -10.403871
      19.1877      -10.275787      -10.366321      -10.200909
      17.9037      -11.493940      -11.538637      -11.453417
      17.9733      -11.452707      -11.493776      -11.415187
      18.0215      -11.330780      -11.375216      -11.290471
      18.0594      -11.348958      -11.390861      -11.310744
      18.0960      -11.308385      -11.351484      -11.269180
      18.1266      -11.263920      -11.308326      -11.223637
      18.1567      -11.270902      -11.312578      -11.232878
      18.1875      -11.286890      -11.331137      -11.246737
      18.2138      -11.165348      -11.209384      -11.125369
      18.2385      -11.158900      -11.200066      -11.121301
      18.2631      -11.144423      -11.188958      -11.104033
      18.2853      -11.067255      -11.109505      -11.028754
      18.3094      -11.104132      -11.144458      -11.067235
      18.3333      -11.060003      -11.103815      -11.020208
      18.3550      -11.009469      -11.050855      -10.971687
      18.3800      -11.102856      -11.145899      -11.063697
      18.4078      -11.037840      -11.080920      -10.998650
      18.4377      -11.032349      -11.075031      -10.993489
      18.4727      -11.049292      -11.093831      -11.008898
      18.5097      -10.960474      -11.005008      -10.920084
      18.5479      -10.921696      -10.965993      -10.881501
      18.5927      -10.901461      -10.944682      -10.862154
      18.6372      -10.763100      -10.808130      -10.722303
      18.6828      -10.755074      -10.799779      -10.714545
      18.7391      -10.704698      -10.748992      -10.664507
      18.8206      -10.640861      -10.683760      -10.601821
      18.9508      -10.545157      -10.588865      -10.505449
      19.1347      -10.433751      -10.493883      -10.380941
