E (MeV)	hadronic model (erg/s/cm2)	hadronic+secondary_leptons (erg/s/cm2)
300.03	8.3313e-11	8.7661e-11							
312.98	8.3775e-11	8.8004e-11							
326.49	8.4057e-11	8.8165e-11							
340.58	8.4170e-11	8.8151e-11							
355.27	8.4125e-11	8.7983e-11							
370.60	8.3934e-11	8.7669e-11							
386.60	8.3611e-11	8.7219e-11							
403.28	8.3171e-11	8.6654e-11							
420.69	8.2625e-11	8.5986e-11							
438.84	8.1988e-11	8.5222e-11							
457.78	8.1269e-11	8.4379e-11							
477.54	8.0480e-11	8.3471e-11							
498.14	7.9629e-11	8.2496e-11							
519.64	7.8724e-11	8.1468e-11							
542.07	7.7771e-11	8.0402e-11							
565.46	7.6776e-11	7.9288e-11							
589.86	7.5743e-11	7.8136e-11							
615.32	7.4676e-11	7.6963e-11							
641.87	7.3577e-11	7.5751e-11							
669.57	7.2450e-11	7.4511e-11							
698.47	7.1297e-11	7.3258e-11							
728.61	7.0118e-11	7.1974e-11							
760.05	6.8913e-11	7.0666e-11							
792.86	6.7685e-11	6.9344e-11							
827.07	6.6431e-11	6.7995e-11							
862.76	6.5153e-11	6.6621e-11							
900.00	6.3849e-11	6.5232e-11							
938.84	6.2518e-11	6.3816e-11							
979.35	6.1161e-11	6.2373e-11							
1021.6	5.9776e-11	6.0912e-11							
1065.7	5.8365e-11	5.9425e-11							
1111.7	5.6926e-11	5.7911e-11							
1159.7	5.5460e-11	5.6378e-11							
1209.7	5.3970e-11	5.4822e-11							
1261.9	5.2455e-11	5.3243e-11							
1316.4	5.0918e-11	5.1646e-11							
1373.2	4.9360e-11	5.0034e-11							
1432.5	4.7785e-11	4.8404e-11							
1494.3	4.6194e-11	4.6761e-11							
1558.8	4.4591e-11	4.5114e-11							
1626.0	4.2979e-11	4.3457e-11							
1696.2	4.1361e-11	4.1795e-11							
1769.4	3.9741e-11	4.0140e-11							
1845.8	3.8121e-11	3.8482e-11							
1925.4	3.6499e-11	3.6826e-11							
2008.5	3.4879e-11	3.5177e-11							
2095.2	3.3266e-11	3.3535e-11							
2185.6	3.1669e-11	3.1910e-11							
2279.9	3.0092e-11	3.0311e-11							
2378.3	2.8540e-11	2.8736e-11							
2481.0	2.7015e-11	2.7190e-11							
2588.0	2.5521e-11	2.5678e-11							
2699.7	2.4060e-11	2.4199e-11							
2816.2	2.2633e-11	2.2757e-11							
2937.7	2.1245e-11	2.1356e-11							
3064.5	1.9898e-11	1.9995e-11							
3196.8	1.8592e-11	1.8678e-11							
3334.7	1.7331e-11	1.7407e-11							
3478.6	1.6116e-11	1.6183e-11							
3628.8	1.4949e-11	1.5007e-11							
3785.4	1.3832e-11	1.3883e-11							
3948.7	1.2766e-11	1.2810e-11							
4119.1	1.1751e-11	1.1789e-11							
4296.9	1.0789e-11	1.0823e-11							
4482.3	9.8805e-12	9.9098e-12							
4675.8	9.0250e-12	9.0502e-12							
4877.6	8.2227e-12	8.2445e-12							
5088.1	7.4726e-12	7.4915e-12							
5307.6	6.7734e-12	6.7895e-12							
5536.7	6.1241e-12	6.1379e-12							
5775.6	5.5227e-12	5.5346e-12							
6024.9	4.9675e-12	4.9775e-12							
6284.9	4.4565e-12	4.4651e-12							
6556.1	3.9877e-12	3.9951e-12							
6839.0	3.5588e-12	3.5650e-12							
7134.2	3.1678e-12	3.1730e-12							
7442.1	2.8123e-12	2.8168e-12							
7763.2	2.4901e-12	2.4939e-12							
8098.3	2.1990e-12	2.2021e-12							
8447.7	1.9368e-12	1.9395e-12							
8812.3	1.7013e-12	1.7035e-12							
9192.6	1.4905e-12	1.4924e-12							
9589.3	1.3024e-12	1.3039e-12							
10003	1.1349e-12	1.1362e-12							
10435	9.8645e-13	9.8754e-13							
10885	8.5516e-13	8.5607e-13							
11355	7.3941e-13	7.4017e-13							
11845	6.3771e-13	6.3834e-13							
12356	5.4864e-13	5.4916e-13							
12889	4.7086e-13	4.7129e-13							
13446	4.0319e-13	4.0355e-13							
14026	3.4449e-13	3.4479e-13							
14631	2.9372e-13	2.9397e-13							
15263	2.4996e-13	2.5017e-13							
15921	2.1235e-13	2.1252e-13							
16608	1.8009e-13	1.8024e-13							
17325	1.5252e-13	1.5264e-13							
18073	1.2900e-13	1.2910e-13							
18853	1.0899e-13	1.0907e-13							
19666	9.2008e-14	9.2073e-14							
20515	7.7623e-14	7.7676e-14							
21400	6.5464e-14	6.5508e-14							
22324	5.5202e-14	5.5238e-14							
23287	4.6553e-14	4.6581e-14							
24292	3.9269e-14	3.9293e-14							
25341	3.3137e-14	3.3156e-14							
26434	2.7973e-14	2.7989e-14							
27575	2.3621e-14	2.3634e-14							
28765	1.9947e-14	1.9957e-14							
30006	1.6840e-14	1.6848e-14							
